group,label,n,seed,rel_error,signed_error,clamped,result,exact
scaling,e4m3 mx32 +1,256,5,5.485146e-03,-5.485146e-03,0,40.102752685546875,40.323935372921845
scaling,e2m1 none,256,5,2.957565e-01,2.957565e-01,9,52.250000000000000,40.323935372921845
scaling,e2m1 per-tensor,256,5,1.648511e-01,1.648511e-01,0,46.971382141113280,40.323935372921845
scaling,e2m1 mx32 spec,256,5,5.158491e-01,5.158491e-01,10,61.125000000000000,40.323935372921845
scaling,e2m1 mx32 +1,256,5,5.908137e-01,-5.908137e-01,0,16.500000000000000,40.323935372921845
rounding,e2m1 mx32 nearest,256,5,5.158491e-01,5.158491e-01,10,61.125000000000000,40.323935372921845
rounding,e2m1 mx32 stochastic,256,5,3.484547e-01,3.484547e-01,10,54.375000000000000,40.323935372921845
accumulation,fp32 sequential,256,6,1.821148e-07,-1.821148e-07,0,-95.180679321289060,-95.180661987477600
accumulation,fp32 reversed,256,6,1.821148e-07,-1.821148e-07,0,-95.180679321289060,-95.180661987477600
accumulation,fp32 pairwise,256,6,2.180088e-08,-2.180088e-08,0,-95.180664062500000,-95.180661987477600
accumulation,fp32 blocked,256,6,2.180088e-08,-2.180088e-08,0,-95.180664062500000,-95.180661987477600
accumulation,fp16 sequential,256,6,1.898096e-03,1.898096e-03,0,-95.000000000000000,-95.180661987477600
accumulation,fp16 reversed,256,6,3.355072e-03,-3.355072e-03,0,-95.500000000000000,-95.180661987477600
accumulation,fp16 pairwise,256,6,7.284884e-04,-7.284884e-04,0,-95.250000000000000,-95.180661987477600
accumulation,fp16 blocked,256,6,3.180847e-04,-3.180847e-04,0,-95.210937500000000,-95.180661987477600
accumulation,bf16 sequential,256,6,3.341710e-02,3.341710e-02,0,-92.000000000000000,-95.180661987477600
accumulation,bf16 reversed,256,6,1.898096e-03,1.898096e-03,0,-95.000000000000000,-95.180661987477600
accumulation,bf16 pairwise,256,6,1.898096e-03,1.898096e-03,0,-95.000000000000000,-95.180661987477600
accumulation,bf16 blocked,256,6,5.160849e-03,-5.160849e-03,0,-95.671875000000000,-95.180661987477600
cast+accumulation,bf16 in / fp32 sequential,256,6,8.279998e-04,8.279998e-04,0,-95.101852416992190,-95.180661987477600
cast+accumulation,bf16 in / fp32 pairwise,256,6,8.279998e-04,8.279998e-04,0,-95.101852416992190,-95.180661987477600
cast+accumulation,bf16 in / fp16 sequential,256,6,1.241450e-03,1.241450e-03,0,-95.062500000000000,-95.180661987477600
cast+accumulation,bf16 in / fp16 pairwise,256,6,1.241450e-03,1.241450e-03,0,-95.062500000000000,-95.180661987477600
